age,G1,G2,G3,studytime,freetime,failures,absences
18,5,6,6,2,3,0,6
17,5,5,6,2,3,0,4
15,7,8,10,2,3,3,10
15,15,14,15,3,2,0,2
16,6,10,10,2,3,0,4
16,15,15,15,2,4,0,10
16,12,12,11,2,4,0,0
17,6,5,6,2,1,0,6
15,16,18,19,2,2,0,0
15,14,15,15,2,5,0,0
15,10,8,9,2,3,0,0
15,10,12,12,3,2,0,4
15,14,14,14,1,3,0,2
15,10,10,11,2,4,0,2
15,14,16,16,3,5,0,0
16,14,14,14,1,4,0,4
16,13,14,14,3,2,0,6
16,8,10,10,2,3,0,4
17,6,5,5,1,5,3,16
16,8,10,10,1,1,0,4
15,13,14,15,2,4,0,0
15,12,15,15,1,4,0,0
16,15,15,16,2,5,0,2
16,13,13,12,2,4,0,0
15,10,9,8,3,3,0,2
16,6,9,8,1,2,2,14
15,12,12,11,1,2,0,2
15,15,16,15,1,2,0,4
16,11,11,11,2,3,0,4
16,10,12,11,2,4,0,16
15,9,11,12,2,4,0,0
15,17,16,17,2,3,0,0
15,17,16,16,2,5,0,0
15,8,10,12,2,3,0,0
16,12,14,15,1,4,0,0
15,8,7,6,1,5,0,0
15,15,16,18,3,4,0,2
16,15,16,15,3,4,0,7
15,12,12,11,3,3,0,2
15,14,13,13,1,3,0,8
16,7,10,11,2,3,1,25
15,12,12,12,1,4,0,8
15,19,18,18,2,3,0,2
15,8,8,11,1,4,0,0
16,10,10,9,2,3,1,14
15,8,8,6,2,2,0,8
16,11,12,11,2,3,0,12
16,19,19,20,4,2,0,4
15,15,15,14,2,3,0,2
15,7,7,7,2,4,1,2
16,12,13,13,2,3,0,2
15,11,13,13,2,3,0,2
15,11,11,10,1,5,1,6
15,8,10,11,1,3,0,0
15,10,13,13,1,3,0,6
16,8,9,10,2,3,0,8
15,14,15,15,2,3,0,0
15,14,15,15,2,2,0,4
15,9,10,9,2,3,0,2
16,15,16,16,2,2,0,2
16,10,11,11,2,4,0,6
16,10,8,11,1,5,0,6
16,8,10,9,2,4,0,4
16,10,9,9,3,4,0,2
15,10,10,10,2,4,0,0
16,16,15,15,2,4,0,2
15,13,13,12,4,3,0,4
16,7,7,6,4,3,0,4
15,8,9,8,2,1,0,2
15,16,16,16,4,4,0,12
16,13,15,15,4,3,0,0
15,10,10,10,4,3,0,0
15,8,6,5,2,3,2,2
16,12,12,14,1,3,0,2
16,11,12,11,2,3,0,54
15,9,9,10,2,3,0,6
15,11,11,10,4,4,0,8
16,11,11,11,4,2,0,0
17,8,8,10,1,5,3,2
16,5,5,5,2,4,0,12
15,10,12,12,1,2,0,2
15,11,10,11,3,3,0,4
15,7,6,6,2,4,0,10
15,15,15,15,2,3,0,4
15,9,10,10,2,3,0,2
15,7,9,8,2,4,2,6
16,8,7,6,2,3,0,4
15,13,14,14,3,3,0,4
16,11,10,10,2,4,1,12
16,8,6,7,2,1,0,18
16,7,7,8,3,3,0,0
15,16,17,18,1,5,0,4
16,7,6,6,2,3,0,4
16,11,10,10,2,3,0,0
15,11,13,14,4,3,0,6
15,7,10,10,4,1,1,2
16,11,15,15,1,3,0,2
16,8,9,10,2,3,0,2
16,11,14,14,1,3,0,6
16,7,9,8,3,3,0,0
16,7,7,5,1,5,0,14
16,16,17,17,3,4,0,0
15,10,13,14,1,3,0,4
15,7,6,6,2,3,0,26
15,16,18,18,2,4,0,0
15,10,11,11,4,3,0,10
15,7,8,8,4,1,0,8
16,16,18,18,3,3,0,2
15,10,13,13,4,3,0,6
16,14,15,16,3,4,0,4
15,18,19,19,1,5,0,6
16,7,10,10,3,1,1,0
16,10,13,13,2,1,1,6
15,18,19,19,1,5,0,10
15,9,9,9,2,4,0,8
16,15,15,16,2,4,0,2
15,11,13,14,2,4,0,2
16,13,14,13,1,4,0,0
17,9,7,8,2,2,1,20
15,14,13,13,1,4,0,6
15,16,15,15,2,2,0,2
15,16,14,15,4,5,0,6
16,13,13,13,2,2,0,2
16,14,11,13,1,4,0,18
16,8,7,8,2,4,0,0
15,13,13,12,1,5,0,0
15,7,10,11,2,3,0,0
19,7,8,9,2,4,3,2
18,7,4,0,1,3,2,0
16,18,18,18,1,5,0,8
15,12,0,0,3,2,2,0
15,8,0,0,1,3,0,0
17,10,13,12,1,4,0,12
16,12,11,11,1,2,0,16
15,9,0,0,2,3,0,0
15,11,0,0,3,3,0,0
17,10,0,0,2,4,0,0
16,4,0,0,1,3,2,0
16,14,12,12,2,4,1,0
15,16,16,15,1,3,0,0
15,7,9,0,4,2,0,0
16,9,9,9,1,3,2,8
15,9,11,11,3,2,0,2
16,14,14,13,1,4,0,2
17,5,0,0,1,4,3,0
15,8,11,11,2,4,0,0
15,6,7,0,2,3,3,0
15,10,11,11,2,3,0,2
16,7,6,0,1,3,0,0
15,8,9,10,1,5,3,0
18,6,5,0,1,3,3,0
16,12,13,14,1,4,1,6
15,10,10,10,3,2,2,8
19,5,0,0,1,5,3,0
17,11,11,12,1,2,0,0
15,11,8,8,2,4,0,2
17,16,12,13,1,2,0,8
18,9,8,10,1,2,3,6
16,17,15,15,1,2,0,2
16,10,12,12,2,5,1,4
17,7,6,0,1,3,2,0
15,5,9,7,2,4,2,6
16,7,0,0,1,4,1,0
17,10,10,10,1,3,0,2
17,5,8,7,2,3,3,0
16,12,11,12,1,5,1,16
16,10,10,10,2,3,0,4
16,14,15,16,2,2,0,0
16,6,7,0,2,1,0,0
16,14,14,14,2,4,0,0
16,6,5,0,1,4,2,0
16,13,15,16,2,3,0,2
17,13,11,10,2,4,0,0
16,8,7,0,2,3,3,0
16,10,11,9,2,4,0,4
17,10,9,9,2,4,0,4
16,13,13,11,2,4,0,2
17,6,5,6,2,3,0,4
16,10,8,9,1,3,0,10
17,10,10,11,2,2,0,4
16,9,8,8,2,4,0,10
16,12,13,12,2,2,0,2
17,16,17,17,2,4,0,0
17,9,9,8,2,3,0,56
16,12,13,12,2,2,0,14
17,12,12,11,2,3,0,12
16,11,12,11,1,3,0,2
16,15,15,15,2,2,0,0
17,8,7,9,2,3,0,6
17,8,9,10,2,1,0,4
16,11,12,13,2,3,0,10
17,8,8,9,2,3,0,0
17,7,8,8,2,4,0,12
16,8,9,10,1,3,0,8
16,13,14,14,1,3,0,0
17,14,15,15,2,3,0,0
17,17,15,16,1,2,0,4
16,9,9,10,1,3,0,8
17,18,18,18,1,2,1,24
16,9,9,10,2,5,0,0
16,16,16,16,2,3,0,2
16,8,10,10,2,4,0,6
17,9,9,10,2,4,0,4
17,7,6,6,1,3,0,18
16,10,10,11,4,3,0,6
17,10,9,9,3,4,1,28
16,7,7,7,2,3,3,5
16,11,12,13,2,3,0,10
16,9,9,10,1,3,0,6
17,7,7,7,3,4,0,6
19,8,8,8,4,3,0,10
17,12,12,13,2,3,0,13
16,12,13,14,2,3,0,0
18,6,7,8,2,4,1,15
17,8,10,10,1,2,0,12
17,14,15,15,2,4,0,2
17,6,6,4,2,4,2,22
18,6,6,8,2,2,1,13
17,7,7,8,1,3,0,3
17,9,10,10,3,3,0,4
17,6,6,6,2,2,0,2
17,6,5,0,3,3,1,0
16,16,16,17,2,3,0,2
18,12,13,13,2,3,0,0
16,13,13,14,3,3,0,0
18,9,8,7,2,3,1,16
